x,y,spawned,detected,attained,time_to_discover,time_to_completion,discover_completion
2.25,-1.75,1970-01-01 01:00:02,,,,,
2.25,2.75,1970-01-01 01:00:12,1970-01-01 01:00:18,1970-01-01 01:00:47,6.0,29.0,35.0
-2.75,2.75,1970-01-01 01:00:22,,,,,
1.25,3.75,1970-01-01 01:00:32,1970-01-01 01:00:39,1970-01-01 01:01:18,7.0,39.0,46.0
2.75,3.75,1970-01-01 01:00:43,1970-01-01 01:00:49,1970-01-01 01:01:28,6.0,39.0,45.0
1.25,2.25,1970-01-01 01:00:53,1970-01-01 01:00:59,1970-01-01 01:01:10,6.0,11.0,17.0
0.75,0.75,1970-01-01 01:01:13,1970-01-01 01:01:19,1970-01-01 01:01:44,6.0,25.0,31.0
0.75,-2.25,1970-01-01 01:01:23,1970-01-01 01:02:01,1970-01-01 01:02:47,38.0,46.0,84.0
2.25,-4.25,1970-01-01 01:01:33,,,,,
-0.25,4.25,1970-01-01 01:01:43,,,,,
0.25,-0.75,1970-01-01 01:01:53,,,,,
0.75,-3.75,1970-01-01 01:02:03,1970-01-01 01:02:09,1970-01-01 01:02:30,6.0,21.0,27.0
2.25,0.75,1970-01-01 01:02:13,1970-01-01 01:02:39,1970-01-01 01:02:57,26.0,18.0,44.0
0.75,1.25,1970-01-01 01:02:24,1970-01-01 01:02:30,1970-01-01 01:02:48,6.0,18.0,24.0
-1.25,4.25,1970-01-01 01:02:44,,,,,
-2.25,-2.25,1970-01-01 01:02:54,1970-01-01 01:03:17,,23.0,,
1.25,-0.25,1970-01-01 01:03:04,,,,,
-3.25,2.25,1970-01-01 01:03:14,1970-01-01 01:03:57,,43.0,,
0.75,-3.25,1970-01-01 01:03:24,,,,,
-2.75,-2.25,1970-01-01 01:03:34,,,,,
-0.75,3.75,1970-01-01 01:03:44,1970-01-01 01:04:03,,19.0,,
2.75,-3.75,1970-01-01 01:03:54,,,,,
-3.75,-2.25,1970-01-01 01:04:04,,,,,
